"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription"
"01_malic acid","Aniger_SF42_IMS_01_17_20V_25Aug",133.014247,2.21,116.25,"20V",962505,823035,10.6,0.01,-0.1,4,0.999934994679067,0.0134164078649989,-0.00600000000000005,0.0541294744108974,0.014,8.64841025853885,11.6,0.998349859774986,"RT-CCS-DIA"
"01_malic acid","Aniger_SF42_IMS_02_18_20V_25Aug",133.014247,2.2,116.25,"20V",898378,173.156078258958,10.6,0,-0.1,4,0.999937003156524,0.052153619241621,-0.0319999999999999,0.0320936130717624,-0.014,4.29220223195506,14.56,0.996010914986918,"RT-CCS-DIA"
"01_malic acid","Aniger_SF42_IMS_03_19_20V_25Aug",133.014247,2.21,116.25,"20V",731532,642237,11.9,0.01,-0.1,4,0.999883880166273,0.0412310562561765,-0.0400000000000001,0.047116875957559,0.002,7.96599020837962,13.78,0.997137683122608,"RT-CCS-DIA"
"01_malic acid","Aniger_SF42_IMS_04_20_20V_25Aug",133.014247,2.23,116.25,"20V",835818,718384,11,0.03,-0.1,4,0.999733150006441,0.0282842712474619,0,0.0447213595499958,0.01,4.2991859694598,14.84,0.997866333449847,"RT-CCS-DIA"
"01_malic acid","Aniger_SF42_IMS_05_21_20V_25Aug",133.014247,2.23,116.25,"20V",726024,631683,9.8,0.03,-0.1,4,0.999978525444885,0.0178885438199983,0.00800000000000001,0.0304959013639538,0.036,8.16657823081369,13.44,0.998132663217385,"RT-CCS-DIA"
"01_malic acid","Aniger_SF42_IMS_06_22_20V_25Aug",133.014247,2.21,116.25,"20V",906662,50.1742414624857,11.7,0.01,-0.1,4,0.999873836445527,0,0,0.0535723809439155,0.012,4.88743286398903,17.18,0.997097605535322,"RT-CCS-DIA"
"01_malic acid","Aniger_SF42_IMS_07_23_20V_25Aug",133.014247,2.25,116.25,"20V",547028,667.487977369165,12.1,0.05,-0.1,4,0.999964352229897,0.0606630035524125,-0.016,0.0207364413533277,0.014,7.20194418195531,12.76,0.997207817438093,"RT-CCS-DIA"
"01_malic acid","Aniger_SF42_IMS_08_24_20V_25Aug",133.014247,2.21,116.25,"20V",641474,553347,9.6,0.01,-0.1,4,0.999986655676656,0.0357770876399967,-0.016,0.0240831891575846,0.014,4.07283684917528,12.26,0.99778295084478,"RT-CCS-DIA"
"01_malic acid","Aniger_SF42_IMS_09_25_20V_25Aug",133.014247,2.21,116.25,"20V",780311,1025.3120124805,10.2,0.01,-0.1,4,0.999854871808809,0.0178885438199983,0.00800000000000001,0.0228035085019828,0.012,4.42797922307682,16.92,0.997024377429967,"RT-CCS-DIA"
"01_malic acid","Aniger_SF42_IMS_10_26_20V_25Aug",133.014247,2.24,116.25,"20V",531124,31.1013728231855,10.5,0.04,-0.1,4,0.999684584826718,0.0164316767251551,0.0180000000000001,0.0415932686861708,0.006,7.10070419043069,10.9,0.99809442922571,"RT-CCS-DIA"
"01_malic acid","Aniger_SF42_IMS_11_27_20V_25Aug",133.014247,2.24,116.25,"20V",648931,4021.90780141844,10.4,0.04,-0.1,3,0.999959172424312,0,0,0.0408248290463863,0.04,4.34702963719672,14.15,0.997667359384237,"RT-CCS-DIA"
"01_malic acid","Aniger_SF42_IMS_12_28_20V_25Aug",133.014247,2.24,116.25,"20V",610784,320.014285714286,8.9,0.04,-0.1,4,0.999860200322493,0.130843417870369,-0.048,0.0430116263352131,0.06,5.58077055611499,14.9,0.98008068599617,"RT-CCS-DIA"
"01_malic acid","Aniger_SF42_IMS_13_29_20V_25Aug",133.014247,2.21,116.25,"20V",1125896,951439,11.6,0.01,-0.1,4,0.999779550216098,0.0178885438199983,-0.00800000000000001,0.0384707681233427,0.034,7.8056389872963,12.66,0.998322662100256,"RT-CCS-DIA"
"01_malic acid","Aniger_SF42_IMS_14_30_20V_25Aug",133.014247,2.23,116.25,"20V",714992,1041.93043478261,9.2,0.03,-0.1,4,0.999501933134595,0.0219089023002067,0.016,0.0435889894354067,0.01,4.66551176185421,13.28,0.997927144364925,"RT-CCS-DIA"
"01_malic acid","Aniger_SF42_IMS_15_31_20V_25Aug",133.014247,2.19,116.25,"20V",1001795,939.056338028169,11.7,-0.01,-0.1,4,0.999936878201944,0.0178885438199983,-0.00800000000000001,0.0238746727726266,0.028,4.26110314355332,14.72,0.997612910827101,"RT-CCS-DIA"
"01_malic acid","Aniger_SF53_IMS_17_33_20V_25Aug",133.014247,2.21,116.25,"20V",1009463,850418,11.2,0.01,-0.1,4,0.999757941241896,0.0219089023002067,0.016,0.0207364413533277,0.00400000000000001,5.99724936950266,15.18,0.997209409436653,"RT-CCS-DIA"
"01_malic acid","Aniger_SF53_IMS_18_34_20V_25Aug",133.014247,2.21,116.25,"20V",1064441,567.464285714286,10.1,0.01,-0.1,4,0.999985647752791,0.0282842712474619,0,0.0308220700148449,0.01,5.33451028680234,15.08,0.997663088434537,"RT-CCS-DIA"
"01_malic acid","Aniger_SF53_IMS_19_35_20V_25Aug",133.014247,2.21,116.25,"20V",1056000,1561.70434782609,10.4,0.01,-0.1,4,0.999930061622261,0.084970583144992,-0.038,0.0476445169982864,-0.00800000000000001,7.23463889907437,12.2,0.994343050979643,"RT-CCS-DIA"
"01_malic acid","Aniger_SF53_IMS_20_36_20V_25Aug",133.014247,2.21,116.25,"20V",1194949,1023229,10.9,0.01,-0.1,4,0.999984616356327,0,0,0.0254950975679639,0.04,4.9852783272351,16.14,0.997115815179485,"RT-CCS-DIA"
"01_malic acid","Aniger_SF53_IMS_21_37_20V_25Aug",133.014247,2.2,116.25,"20V",998128,861388,11.2,0,-0.1,4,0.999970050374513,0.0357770876399965,-0.0159999999999999,0.0294957624075053,-0.008,4.60836196495024,16.22,0.996796681958471,"RT-CCS-DIA"
"01_malic acid","Aniger_SF53_IMS_22_38_20V_25Aug",133.014247,2.17,116.25,"20V",1514532,1297554,11.2,-0.03,-0.1,4,0.999872307177135,0.0178885438199983,-0.00800000000000001,0.0452769256906871,-0.02,4.02901973189509,14.46,0.99731552771974,"RT-CCS-DIA"
"01_malic acid","Aniger_SF53_IMS_23_39_20V_25Aug",133.014247,2.21,116.25,"20V",1463014,1259119,11.9,0.01,-0.1,4,0.999981036265303,0.0178885438199983,-0.00800000000000001,0.0270185121722126,0.014,4.8098856535265,16.1,0.997337997970689,"RT-CCS-DIA"
"01_malic acid","Aniger_SF53_IMS_24_40_20V_25Aug",133.014247,2.2,116.25,"20V",1283656,1101982,10.9,0,-0.1,4,0.999966322616229,0.0178885438199983,-0.00800000000000001,0.0336154726279432,0.00600000000000001,3.65239647354993,14.8,0.997505645392412,"RT-CCS-DIA"
"01_malic acid","Aniger_SF53_IMS_25_41_20V_25Aug",133.014247,2.19,116.25,"20V",1468239,1258672,10.6,-0.01,-0.1,4,0.999954732332483,0.0357770876399967,-0.024,0.0151657508881031,0.024,4.37858424607772,15.22,0.996966444574741,"RT-CCS-DIA"
